file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_001.json,challenge_001,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_001.patch,False,False,,patch_did_not_apply,,,0.03307390213012695
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_002.json,challenge_002,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_002.patch,True,False,True,tests_failed,1,src/settings.py,0.5147886276245117
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_003.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_003.patch,True,True,False,,0,src/preview.py,0.39133214950561523
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_004.json,challenge_004,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_004.patch,True,True,False,,0,src/preferences.py,0.40304017066955566
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_005.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_005.patch,True,True,False,,0,src/network.py,0.442333459854126
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_006.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_006.patch,True,True,False,,0,src/pricing.py,0.4251871109008789
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_007.json,challenge_007,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_007.patch,False,False,,patch_did_not_apply,,,0.034497737884521484
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_008.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_008.patch,False,False,,patch_did_not_apply,,,0.03359389305114746
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_009.json,challenge_009,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.5211775302886963
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_a\challenge_010.json,challenge_010,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_a\challenge_010.patch,True,False,True,syntax_error,2,src/backend_loader.py,0.8842120170593262
