file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_001.json,challenge_001,candidates\challenge\agent_b\challenge_001.patch,False,False,,patch_did_not_apply,,,0.04090142250061035
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_002.json,challenge_002,candidates\challenge\agent_b\challenge_002.patch,False,False,,patch_did_not_apply,,,0.03899192810058594
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_003.json,challenge_003,candidates\challenge\agent_b\challenge_003.patch,False,False,,patch_did_not_apply,,,0.037717580795288086
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_004.json,challenge_004,candidates\challenge\agent_b\challenge_004.patch,False,False,,patch_did_not_apply,,,0.04067254066467285
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_005.json,challenge_005,candidates\challenge\agent_b\challenge_005.patch,False,False,,patch_did_not_apply,,,0.03295564651489258
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_006.json,challenge_006,candidates\challenge\agent_b\challenge_006.patch,False,False,,patch_did_not_apply,,,0.037256479263305664
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_007.json,challenge_007,candidates\challenge\agent_b\challenge_007.patch,False,False,,patch_did_not_apply,,,0.03775620460510254
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_008.json,challenge_008,candidates\challenge\agent_b\challenge_008.patch,False,False,,patch_did_not_apply,,,0.034502506256103516
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_009.json,challenge_009,candidates\challenge\agent_b\challenge_009.patch,False,False,,patch_did_not_apply,,,0.054703474044799805
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_b\challenge_010.json,challenge_010,candidates\challenge\agent_b\challenge_010.patch,False,False,,patch_did_not_apply,,,0.03577828407287598
