file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_001.json,challenge_001,candidates\challenge\agent_c\challenge_001.patch,False,False,,patch_did_not_apply,,,0.039095163345336914
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_002.json,challenge_002,candidates\challenge\agent_c\challenge_002.patch,False,False,,patch_did_not_apply,,,0.03449416160583496
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_003.json,challenge_003,candidates\challenge\agent_c\challenge_003.patch,False,False,,patch_did_not_apply,,,0.0467529296875
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_004.json,challenge_004,candidates\challenge\agent_c\challenge_004.patch,False,False,,patch_did_not_apply,,,0.03455352783203125
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_005.json,challenge_005,candidates\challenge\agent_c\challenge_005.patch,False,False,,patch_did_not_apply,,,0.03618121147155762
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_006.json,challenge_006,candidates\challenge\agent_c\challenge_006.patch,True,True,False,,0,src/pricing.py,0.4360015392303467
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_007.json,challenge_007,candidates\challenge\agent_c\challenge_007.patch,True,True,False,,0,src/http_headers.py,0.4337332248687744
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_008.json,challenge_008,candidates\challenge\agent_c\challenge_008.patch,True,True,False,,0,src/history.py,0.41945314407348633
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_009.json,challenge_009,candidates\challenge\agent_c\challenge_009.patch,False,False,,patch_did_not_apply,,,0.037428855895996094
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge/agent_c\challenge_010.json,challenge_010,candidates\challenge\agent_c\challenge_010.patch,False,False,,patch_did_not_apply,,,0.05612897872924805
