file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_001_gold.json,challenge_001,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_001\gold.patch,True,True,False,,0,src/users.py,0.5014805793762207
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_002_gold.json,challenge_002,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_002\gold.patch,True,True,False,,0,src/parsers.py;src/settings.py,0.4660360813140869
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_003_gold.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_003\gold.patch,True,True,False,,0,src/preview.py,0.49762415885925293
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_004_gold.json,challenge_004,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_004\gold.patch,True,True,False,,0,src/preferences.py,0.508375883102417
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_005_gold.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_005\gold.patch,True,True,False,,0,src/network.py,0.4998509883880615
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_006_gold.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_006\gold.patch,True,True,False,,0,src/pricing.py,0.5013399124145508
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_007_gold.json,challenge_007,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_007\gold.patch,True,True,False,,0,src/http_headers.py,0.5153734683990479
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_008_gold.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\tasks\challenge\challenge_008\gold.patch,True,True,False,,0,src/history.py,0.4876072406768799
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_009_gold.json,challenge_009,tasks\challenge\challenge_009\gold.patch,True,True,False,,0,src/timeouts.py,0.4766848087310791
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge\challenge_010_gold.json,challenge_010,tasks\challenge\challenge_010\gold.patch,True,True,False,,0,src/backend_loader.py,0.46254920959472656
