file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results/challenge_combined/agent_c/challenge_001.json,challenge_001,candidates\challenge_json_repaired\agent_c\patches\challenge_001.patch,False,False,,patch_did_not_apply,,,0.042153120040893555
results/challenge_combined/agent_c/challenge_002.json,challenge_002,candidates\challenge_json_repaired\agent_c\patches\challenge_002.patch,True,True,False,,0,src/settings.py,0.490694522857666
results/challenge_combined/agent_c/challenge_003.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_003.patch,True,False,True,tests_failed,1,src/preview.py,0.5122475624084473
results/challenge_combined/agent_c/challenge_004.json,challenge_004,candidates\challenge_json_repaired\agent_c\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.038698673248291016
results/challenge_combined/agent_c/challenge_005.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_005.patch,True,True,False,,0,src/network.py,0.43996572494506836
results/challenge_combined/agent_c/challenge_006.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_006.patch,True,True,False,,0,src/pricing.py,0.5450179576873779
results/challenge_combined/agent_c/challenge_007.json,challenge_007,candidates\challenge_json_repaired\agent_c\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.038716793060302734
results/challenge_combined/agent_c/challenge_008.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_008.patch,True,True,False,,0,src/history.py,0.4429495334625244
results/challenge_combined/agent_c/challenge_009.json,challenge_009,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.42180848121643066
results/challenge_combined/agent_c/challenge_010.json,challenge_010,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_c\patches\challenge_010.patch,True,True,False,,0,src/backend_loader.py,0.4328017234802246
