file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results/challenge_json/agent_a\challenge_001.json,challenge_001,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_001.patch,True,True,False,,0,src/users.py,0.4839911460876465
results/challenge_json/agent_a\challenge_002.json,challenge_002,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.04102063179016113
results/challenge_json/agent_a\challenge_003.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_003.patch,True,True,False,,0,src/preview.py,0.4939384460449219
results/challenge_json/agent_a\challenge_004.json,challenge_004,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.045827627182006836
results/challenge_json/agent_a\challenge_005.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_005.patch,True,False,True,syntax_error,2,src/network.py,0.9746744632720947
results/challenge_json/agent_a\challenge_006.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_006.patch,True,True,False,,0,src/pricing.py,0.8158519268035889
results/challenge_json/agent_a\challenge_007.json,challenge_007,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.03403592109680176
results/challenge_json/agent_a\challenge_008.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.04036426544189453
results/challenge_json/agent_a\challenge_009.json,challenge_009,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.4561898708343506
results/challenge_json/agent_a\challenge_010.json,challenge_010,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_a\patches\challenge_010.patch,True,True,False,,0,src/backend_loader.py,0.4940774440765381
