file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results/challenge_json/agent_b\challenge_001.json,challenge_001,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_001.patch,False,False,,patch_did_not_apply,,,0.03854012489318848
results/challenge_json/agent_b\challenge_002.json,challenge_002,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_002.patch,True,True,False,,0,src/settings.py,0.5096824169158936
results/challenge_json/agent_b\challenge_003.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_003.patch,True,False,True,tests_failed,1,src/preview.py,0.504443883895874
results/challenge_json/agent_b\challenge_004.json,challenge_004,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.03787636756896973
results/challenge_json/agent_b\challenge_005.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_005.patch,False,False,,patch_did_not_apply,,,0.04089546203613281
results/challenge_json/agent_b\challenge_006.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_006.patch,False,False,,patch_did_not_apply,,,0.041121721267700195
results/challenge_json/agent_b\challenge_007.json,challenge_007,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.0330202579498291
results/challenge_json/agent_b\challenge_008.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.04207015037536621
results/challenge_json/agent_b\challenge_009.json,challenge_009,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_009.patch,False,False,,patch_did_not_apply,,,0.04300427436828613
results/challenge_json/agent_b\challenge_010.json,challenge_010,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge_json\agent_b\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.037351131439208984
