file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\challenge_json_replication\agent_a\challenge_001.json,challenge_001,candidates\challenge_json_replication\agent_a\patches\challenge_001.patch,True,True,False,,0,src/users.py,0.7027866840362549
results\challenge_json_replication\agent_a\challenge_002.json,challenge_002,candidates\challenge_json_replication\agent_a\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.04622936248779297
results\challenge_json_replication\agent_a\challenge_003.json,challenge_003,candidates\challenge_json_replication\agent_a\patches\challenge_003.patch,False,False,,patch_did_not_apply,,,0.05268383026123047
results\challenge_json_replication\agent_a\challenge_004.json,challenge_004,candidates\challenge_json_replication\agent_a\patches\challenge_004.patch,True,True,False,,0,src/preferences.py,0.43540501594543457
results\challenge_json_replication\agent_a\challenge_005.json,challenge_005,candidates\challenge_json_replication\agent_a\patches\challenge_005.patch,False,False,,patch_did_not_apply,,,0.056415557861328125
results\challenge_json_replication\agent_a\challenge_006.json,challenge_006,candidates\challenge_json_replication\agent_a\patches\challenge_006.patch,False,False,,patch_did_not_apply,,,0.04802703857421875
results\challenge_json_replication\agent_a\challenge_007.json,challenge_007,candidates\challenge_json_replication\agent_a\patches\challenge_007.patch,True,True,False,,0,src/http_headers.py,0.4404308795928955
results\challenge_json_replication\agent_a\challenge_008.json,challenge_008,candidates\challenge_json_replication\agent_a\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.05019497871398926
results\challenge_json_replication\agent_a\challenge_009.json,challenge_009,candidates\challenge_json_replication\agent_a\patches\challenge_009.patch,False,False,,patch_did_not_apply,,,0.044641733169555664
results\challenge_json_replication\agent_a\challenge_010.json,challenge_010,candidates\challenge_json_replication\agent_a\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.049201011657714844
