file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\challenge_json_replication\agent_b\challenge_001.json,challenge_001,candidates\challenge_json_replication\agent_b\patches\challenge_001.patch,False,False,,patch_did_not_apply,,,0.04712653160095215
results\challenge_json_replication\agent_b\challenge_002.json,challenge_002,candidates\challenge_json_replication\agent_b\patches\challenge_002.patch,True,True,False,,0,src/settings.py,0.46625494956970215
results\challenge_json_replication\agent_b\challenge_003.json,challenge_003,candidates\challenge_json_replication\agent_b\patches\challenge_003.patch,True,True,False,,0,src/preview.py,0.48830628395080566
results\challenge_json_replication\agent_b\challenge_004.json,challenge_004,candidates\challenge_json_replication\agent_b\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.05315828323364258
results\challenge_json_replication\agent_b\challenge_005.json,challenge_005,candidates\challenge_json_replication\agent_b\patches\challenge_005.patch,True,True,False,,0,src/network.py,0.44504690170288086
results\challenge_json_replication\agent_b\challenge_006.json,challenge_006,candidates\challenge_json_replication\agent_b\patches\challenge_006.patch,True,True,False,,0,src/pricing.py,0.4862077236175537
results\challenge_json_replication\agent_b\challenge_007.json,challenge_007,candidates\challenge_json_replication\agent_b\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.04922342300415039
results\challenge_json_replication\agent_b\challenge_008.json,challenge_008,candidates\challenge_json_replication\agent_b\patches\challenge_008.patch,True,True,False,,0,src/history.py,0.44563746452331543
results\challenge_json_replication\agent_b\challenge_009.json,challenge_009,candidates\challenge_json_replication\agent_b\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.5100805759429932
results\challenge_json_replication\agent_b\challenge_010.json,challenge_010,candidates\challenge_json_replication\agent_b\patches\challenge_010.patch,True,True,False,,0,src/backend_loader.py,0.5619215965270996
