file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\challenge_json_replication\agent_c\challenge_001.json,challenge_001,candidates\challenge_json_replication\agent_c\patches\challenge_001.patch,True,True,False,,0,src/users.py,0.4512357711791992
results\challenge_json_replication\agent_c\challenge_002.json,challenge_002,candidates\challenge_json_replication\agent_c\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.04860258102416992
results\challenge_json_replication\agent_c\challenge_003.json,challenge_003,candidates\challenge_json_replication\agent_c\patches\challenge_003.patch,False,False,,patch_did_not_apply,,,0.04711747169494629
results\challenge_json_replication\agent_c\challenge_004.json,challenge_004,candidates\challenge_json_replication\agent_c\patches\challenge_004.patch,True,True,False,,0,src/preferences.py,0.44070982933044434
results\challenge_json_replication\agent_c\challenge_005.json,challenge_005,candidates\challenge_json_replication\agent_c\patches\challenge_005.patch,False,False,,patch_did_not_apply,,,0.04582476615905762
results\challenge_json_replication\agent_c\challenge_006.json,challenge_006,candidates\challenge_json_replication\agent_c\patches\challenge_006.patch,False,False,,patch_did_not_apply,,,0.04564094543457031
results\challenge_json_replication\agent_c\challenge_007.json,challenge_007,candidates\challenge_json_replication\agent_c\patches\challenge_007.patch,True,True,False,,0,src/http_headers.py,0.441403865814209
results\challenge_json_replication\agent_c\challenge_008.json,challenge_008,candidates\challenge_json_replication\agent_c\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.05759882926940918
results\challenge_json_replication\agent_c\challenge_009.json,challenge_009,candidates\challenge_json_replication\agent_c\patches\challenge_009.patch,False,False,,patch_did_not_apply,,,0.050543785095214844
results\challenge_json_replication\agent_c\challenge_010.json,challenge_010,candidates\challenge_json_replication\agent_c\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.051502227783203125
