file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_001.json,challenge_001,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_001.patch,False,False,,patch_did_not_apply,,,0.03388237953186035
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_002.json,challenge_002,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.03795218467712402
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_003.json,challenge_003,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_003.patch,False,False,,patch_did_not_apply,,,0.03522610664367676
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_004.json,challenge_004,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.03720831871032715
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_005.json,challenge_005,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_005.patch,False,False,,patch_did_not_apply,,,0.03547334671020508
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_006.json,challenge_006,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_006.patch,False,False,,patch_did_not_apply,,,0.03630542755126953
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_007.json,challenge_007,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.03413534164428711
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_008.json,challenge_008,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.03583955764770508
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_009.json,challenge_009,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_009.patch,False,False,,patch_did_not_apply,,,0.035138845443725586
c:/Users/Pette/Downloads/vet_pilot_experiment_package/vet_pilot/results/challenge_rerun/agent_b\challenge_010.json,challenge_010,C:\Users\Pette\Downloads\vet_pilot_experiment_package\vet_pilot\candidates\challenge\agent_b\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.03401350975036621
