file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\stage10_replications\rep_01\agent_a\challenge_001.json,challenge_001,candidates\stage10_replications\rep_01\agent_a\patches\challenge_001.patch,True,True,False,,0,src/users.py,0.4999210834503174
results\stage10_replications\rep_01\agent_a\challenge_002.json,challenge_002,candidates\stage10_replications\rep_01\agent_a\patches\challenge_002.patch,True,True,False,,0,src/settings.py,0.4605855941772461
results\stage10_replications\rep_01\agent_a\challenge_003.json,challenge_003,candidates\stage10_replications\rep_01\agent_a\patches\challenge_003.patch,True,True,False,,0,src/preview.py,0.4913899898529053
results\stage10_replications\rep_01\agent_a\challenge_004.json,challenge_004,candidates\stage10_replications\rep_01\agent_a\patches\challenge_004.patch,False,False,,patch_did_not_apply,,,0.053528547286987305
results\stage10_replications\rep_01\agent_a\challenge_005.json,challenge_005,candidates\stage10_replications\rep_01\agent_a\patches\challenge_005.patch,True,True,False,,0,src/network.py,0.45545315742492676
results\stage10_replications\rep_01\agent_a\challenge_006.json,challenge_006,candidates\stage10_replications\rep_01\agent_a\patches\challenge_006.patch,True,False,True,tests_failed,1,src/pricing.py,0.5592286586761475
results\stage10_replications\rep_01\agent_a\challenge_007.json,challenge_007,candidates\stage10_replications\rep_01\agent_a\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.05067086219787598
results\stage10_replications\rep_01\agent_a\challenge_008.json,challenge_008,candidates\stage10_replications\rep_01\agent_a\patches\challenge_008.patch,True,True,False,,0,src/history.py,0.4594249725341797
results\stage10_replications\rep_01\agent_a\challenge_009.json,challenge_009,candidates\stage10_replications\rep_01\agent_a\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.4545259475708008
results\stage10_replications\rep_01\agent_a\challenge_010.json,challenge_010,candidates\stage10_replications\rep_01\agent_a\patches\challenge_010.patch,True,True,False,,0,src/backend_loader.py,0.5610356330871582
