file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\stage10_replications\rep_03\agent_b\challenge_001.json,challenge_001,candidates\stage10_replications\rep_03\agent_b\patches\challenge_001.patch,True,True,False,,0,src/users.py,0.4582815170288086
results\stage10_replications\rep_03\agent_b\challenge_002.json,challenge_002,candidates\stage10_replications\rep_03\agent_b\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.05393028259277344
results\stage10_replications\rep_03\agent_b\challenge_003.json,challenge_003,candidates\stage10_replications\rep_03\agent_b\patches\challenge_003.patch,True,True,False,,0,src/preview.py,0.4509289264678955
results\stage10_replications\rep_03\agent_b\challenge_004.json,challenge_004,candidates\stage10_replications\rep_03\agent_b\patches\challenge_004.patch,True,True,False,,0,src/preferences.py,0.4716987609863281
results\stage10_replications\rep_03\agent_b\challenge_005.json,challenge_005,candidates\stage10_replications\rep_03\agent_b\patches\challenge_005.patch,True,True,False,,0,src/network.py,0.4888439178466797
results\stage10_replications\rep_03\agent_b\challenge_006.json,challenge_006,candidates\stage10_replications\rep_03\agent_b\patches\challenge_006.patch,True,True,False,,0,src/pricing.py,0.495563268661499
results\stage10_replications\rep_03\agent_b\challenge_007.json,challenge_007,candidates\stage10_replications\rep_03\agent_b\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.05184221267700195
results\stage10_replications\rep_03\agent_b\challenge_008.json,challenge_008,candidates\stage10_replications\rep_03\agent_b\patches\challenge_008.patch,True,True,False,,0,src/history.py,0.4632277488708496
results\stage10_replications\rep_03\agent_b\challenge_009.json,challenge_009,candidates\stage10_replications\rep_03\agent_b\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.5692815780639648
results\stage10_replications\rep_03\agent_b\challenge_010.json,challenge_010,candidates\stage10_replications\rep_03\agent_b\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.06188201904296875
