file,task,candidate,patch_applied,verified_solve,false_completion,failure_type,test_returncode,changed_files,duration_sec
results\stage10_replications\rep_05\agent_c\challenge_001.json,challenge_001,candidates\stage10_replications\rep_05\agent_c\patches\challenge_001.patch,True,False,True,syntax_error,2,src/users.py,0.7091784477233887
results\stage10_replications\rep_05\agent_c\challenge_002.json,challenge_002,candidates\stage10_replications\rep_05\agent_c\patches\challenge_002.patch,False,False,,patch_did_not_apply,,,0.052606821060180664
results\stage10_replications\rep_05\agent_c\challenge_003.json,challenge_003,candidates\stage10_replications\rep_05\agent_c\patches\challenge_003.patch,True,True,False,,0,src/preview.py,0.4938681125640869
results\stage10_replications\rep_05\agent_c\challenge_004.json,challenge_004,candidates\stage10_replications\rep_05\agent_c\patches\challenge_004.patch,True,True,False,,0,src/preferences.py,0.48647308349609375
results\stage10_replications\rep_05\agent_c\challenge_005.json,challenge_005,candidates\stage10_replications\rep_05\agent_c\patches\challenge_005.patch,True,True,False,,0,src/network.py,0.47312307357788086
results\stage10_replications\rep_05\agent_c\challenge_006.json,challenge_006,candidates\stage10_replications\rep_05\agent_c\patches\challenge_006.patch,True,True,False,,0,src/pricing.py,0.48502206802368164
results\stage10_replications\rep_05\agent_c\challenge_007.json,challenge_007,candidates\stage10_replications\rep_05\agent_c\patches\challenge_007.patch,False,False,,patch_did_not_apply,,,0.05617666244506836
results\stage10_replications\rep_05\agent_c\challenge_008.json,challenge_008,candidates\stage10_replications\rep_05\agent_c\patches\challenge_008.patch,False,False,,patch_did_not_apply,,,0.06094861030578613
results\stage10_replications\rep_05\agent_c\challenge_009.json,challenge_009,candidates\stage10_replications\rep_05\agent_c\patches\challenge_009.patch,True,True,False,,0,src/timeouts.py,0.4790956974029541
results\stage10_replications\rep_05\agent_c\challenge_010.json,challenge_010,candidates\stage10_replications\rep_05\agent_c\patches\challenge_010.patch,False,False,,patch_did_not_apply,,,0.05958819389343262
