row_type,condition,rep,n,patch_applied_rate,patch_applied_stdev,patch_applied_min,patch_applied_max,solve_if_applied,solve_if_applied_stdev
replication,agent_a,rep_01,10,0.8,,,,0.875,
replication,agent_a,rep_02,10,0.1,,,,1.0,
replication,agent_a,rep_03,10,0.2,,,,1.0,
replication,agent_a,rep_04,10,0.3,,,,1.0,
replication,agent_a,rep_05,10,0.4,,,,1.0,
summary,agent_a,mean,,0.36,0.27018512172212594,0.1,0.8,0.975,0.05590169943749474
replication,agent_b,rep_01,10,0.2,,,,1.0,
replication,agent_b,rep_02,10,0.1,,,,1.0,
replication,agent_b,rep_03,10,0.7,,,,1.0,
replication,agent_b,rep_04,10,0.4,,,,1.0,
replication,agent_b,rep_05,10,0.6,,,,0.6666666666666666,
summary,agent_b,mean,,0.4,0.2549509756796392,0.1,0.7,0.9333333333333333,0.14907119849998599
replication,agent_c,rep_01,10,0.8,,,,1.0,
replication,agent_c,rep_02,10,0.9,,,,0.8888888888888888,
replication,agent_c,rep_03,10,0.8,,,,1.0,
replication,agent_c,rep_04,10,0.6,,,,1.0,
replication,agent_c,rep_05,10,0.6,,,,0.8333333333333334,
summary,agent_c,mean,,0.74,0.13416407864998742,0.6,0.9,0.9444444444444444,0.07856742013183861
