task_id,bug_type,difficulty,gold_patch_applied,gold_verified_solve,empty_patch_applied,empty_verified_solve,controls_passed
challenge_011,edge_case,medium,True,True,False,False,True
challenge_012,edge_case,medium,True,True,False,False,True
challenge_013,edge_case,medium,True,True,False,False,True
challenge_014,multi_file,hard,True,True,False,False,True
challenge_015,multi_file,hard,True,True,False,False,True
challenge_016,multi_file,hard,True,True,False,False,True
challenge_017,misleading_obvious_fix,medium,True,True,False,False,True
challenge_018,misleading_obvious_fix,medium,True,True,False,False,True
challenge_019,misleading_obvious_fix,hard,True,True,False,False,True
challenge_020,state_mutation,medium,True,True,False,False,True
challenge_021,state_mutation,hard,True,True,False,False,True
challenge_022,state_mutation,hard,True,True,False,False,True
challenge_023,hidden_edge_case,medium,True,True,False,False,True
challenge_024,hidden_edge_case,medium,True,True,False,False,True
challenge_025,hidden_edge_case,medium,True,True,False,False,True
challenge_026,public_api_preservation,medium,True,True,False,False,True
challenge_027,public_api_preservation,medium,True,True,False,False,True
challenge_028,regression_trap,hard,True,True,False,False,True
challenge_029,regression_trap,hard,True,True,False,False,True
challenge_030,dependency_or_config_behavior,hard,True,True,False,False,True
