task,n_runs,json_valid_rate,schema_usable_rate,patch_applied_rate,verified_solve_rate,solve_if_applied,false_completion_rate,recovery_observed_rate,recovery_observed_count,annotation_row_count,annotation_coverage_rate,trajectory_use_observed_count
challenge_001,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_002,8,1.0,1.0,1.0,0.625,0.625,0.375,0.0,0,4,0.5,0
challenge_003,8,1.0,1.0,1.0,0.75,0.75,0.25,0.0,0,4,0.5,0
challenge_004,8,1.0,1.0,1.0,0.875,0.875,0.125,0.0,0,0,0.0,0
challenge_005,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_006,8,0.875,0.875,0.875,0.25,0.2857142857142857,0.625,0.125,1,3,0.375,1
challenge_007,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_008,8,0.875,0.875,0.875,0.75,0.8571428571428571,0.125,0.0,0,2,0.25,0
challenge_009,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_010,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_011,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_012,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_013,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_014,8,1.0,1.0,1.0,0.875,0.875,0.125,0.0,0,0,0.0,0
challenge_015,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_016,8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,4,0.5,0
challenge_017,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_018,8,1.0,1.0,1.0,0.75,0.75,0.25,0.0,0,1,0.125,0
challenge_019,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_020,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_021,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_022,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_023,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_024,8,0.875,0.875,0.875,0.875,1.0,0.0,0.0,0,2,0.25,0
challenge_025,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_026,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_027,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_028,8,1.0,1.0,1.0,0.625,0.625,0.375,0.0,0,2,0.25,0
challenge_029,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
challenge_030,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,0
